Species,Common name,Maximum longevity (yrs)
matacus,Southern three-banded armadillo,36.8
tricinctus,Brazilian three-banded armadillo,unknown
pichiy,Pichi,12.5
laniger,Kultarr,3.5
agilis,Agile antechinus,4.7
bellus,Fawn antechinus,3.4
flavipes,Yellow-footed antechinus,3.9
leo,Cinnamon antechinus,unknown
minimus,Swamp antechinus,unknown
stuartii,Brown antechinus,5.4
swainsonii,Dusky antechinus,3.3
cristicauda,Mulgara,7.4
rosamondae,Little red kaluta,unknown
byrnei,Kowari,8
geoffroii,Western quoll,6.2
hallucatus,Northern quoll,5.9
maculatus,"Tiger quoll, or Australian tiger cat",6.8
viverrinus,Eastern quoll,6.8
ridei,Wongai ningaui,unknown
timealeyi,Pilbara ningaui,unknown
apicalis,Southern dibbler,5.5
calura,Red-tailed phascogale,4.7
tapoatafa,Brush-tailed phascogale,5.9
gilesi,Paucident planigale,unknown
ingrami,Long-tailed planigale,unknown
maculata,Pygmy planigale,5.8
tenuirostris,Narrow-nosed planigale,5.2
bilarni,Sandstone dibbler,unknown
macdonnellensis,Fat-tailed marsupial mouse,7
ningbing,Ningbing pseudantechinus,unknown
woolleyae,Woolley's pseudantechinus,unknown
harrisii,Tasmanian devil,13
crassicaudata,Fat-tailed dunnart,5
dolichura,Little long-tailed dunnart,unknown
douglasi,Julia Creek dunnart,unknown
griseoventer,Gray-bellied dunnart,3.6
macroura,Stripe-faced dunnart,4.9
ooldea,Ooldea dunnart,unknown
virginiae,Red-cheeked dunnart,5.3
youngsoni,Lesser hairy-footed dunnart,5.3
fasciatus,Numbat,11
volans,Philippine flying lemur,unknown
derbianus,Central American woolly opossum,8.7
philander,Bare-tailed woolly opossum,8.9
irrupta,Black-shouldered opossum,unknown
minimus,Water opossum (yapok),3.1
albiventris,White-eared opossum,unknown
aurita,Big-eared opossum,4
marsupialis,Southern opossum,4.2
virginiana,Virginia opossum,6.6
agilis,"Agile gracile opossum, or Paraguayan slender mouse opossum",6.1
crassicaudata,Lutrine opossum,2.9
mexicana,Mexican mouse opossum,unknown
murina,Murine mouse opossum,3.6
robinsoni,Robinson's mouse opossum,5
noctivagus,"White-bellied slender opossum, or Rio Napo mouse opossum",4.5
nudicaudatus,Brown four-eyed opossum,3
adusta,Sepia short-tailed opossum,4.1
brevicaudata,"Northern red-sided opossum, or Short bare-tailed opossum",3.9
domestica,Gray short-tailed opossum,5.1
andersoni,Black four-eyed opossum,unknown
opossum,Gray four-eyed opossum,4.4
pygmaeus,Pygmy gliding possum,8.8
pennatus,Feather-tailed possum,unknown
parvus,Mountain pygmy possum,12
caudatus,Long-tailed pygmy possum,unknown
nanus,Eastern pygmy possum,10.3
moschatus,Musky rat kangaroo,unknown
bennettianus,Bennett's tree kangaroo,unknown
dorianus,Doria's tree kangaroo,19
goodfellowi,Goodfellow's tree kangaroo,23.6
inustus,Grizzled tree kangaroo,23.8
matschiei,Matschie's tree kangaroo,26.9
ursinus,Black tree kangaroo,20
luctuosa,Gray dorcopsis,13.9
muelleri,Brown dorcopsis,12.4
macleayi,"Macleay's dorcopsis, or Papuan mountain wallaby",7.9
conspicillatus,Spectacled hare-wallaby,8.8
hirsutus,Rufous hare-wallaby,13.2
fasciatus,Banded hare-wallaby,unknown
agilis,Agile wallaby,16.9
antilopinus,Antilopine wallaroo,19.8
bernardus,Black wallaroo,11.8
dorsalis,Black-striped wallaby,unknown
eugenii,Tammar wallaby,15.1
fuliginosus,Western gray kangaroo,23.2
giganteus,Eastern gray kangaroo,25
parma,Parma wallaby,15.9
parryi,Whiptail wallaby,unknown
robustus,Wallaroo,22
rufogriseus,Red-necked wallaby,15.2
rufus,Red kangaroo,25
fraenata,"Bridled nail-tail wallaby, or Ridled nail-tailed wallaby",7.4
unguifera,Northern nail-tailed wallaby,5.5
assimilis,Allied rock wallaby,unknown
brachyotis,"Short-eared rock-wallaby, or Western rock wallaby",10.1
concinna,Nabarlek,11.7
lateralis,Black-footed rock wallaby,unknown
penicillata,Brush-tailed rock wallaby,14.3
xanthopus,Ringtailed rock wallaby,14.4
brachyurus,Quokka,13.8
billardierii,Tasmanian pademelon,8.8
brunii,Dusky pademelon,9.4
stigmatica,Red-legged pademelon,9.7
thetis,Red-necked pademelon,9
bicolor,Swamp wallaby,16.8
trivirgata,Striped possum,9.6
leadbeateri,Leadbeater's possum,14.1
australis,Yellow-bellied glider,15
breviceps,Sugar glider,17.8
norfolcensis,Squirrel glider,14.8
ursinus,"Sulawesi bear cuscus, or Bear cuscus",unknown
gymnotis,Ground cuscus,18.9
orientalis,Gray cuscus,unknown
maculatus,"Common spotted cuscus, or Spotted cuscus",17
arnhemensis,Northern brush-tailed possum,unknown
caninus,Mountain brush-tailed possum,unknown
vulpecula,Brush-tailed possum,15.9
squamicaudata,Scaly-tailed possum,unknown
cinereus,Koala,22.1
rufescens,Rufous 'rat'-kangaroo,12.8
gaimardi,Tasmanian bettong,unknown
lesueur,Burrowing bettong,unknown
penicillata,Woylie,18.8
tropica,Northern bettong,unknown
longipes,Long-footed potoroo,15.3
tridactylus,Long-nosed potoroo,14.5
lemuroides,Lemuroid ringtail possum,5.4
volans,Greater glider,unknown
peregrinus,"Common ringtail, or Ring-tailed possum",10.1
rostratus,Honey possum,unknown
krefftii,Northern hairy-nosed wombat,30
latifrons,Southern hairy-nosed wombat,29.9
ursinus,Coarse-haired wombat,30
albiventris,Four-toed hedgehog,11.4
algirus,North african hedgehog,unknown
frontalis,Southern african hedgehog,unknown
gymnura,Moonrat,unknown
amurensis,Amur hedgehog,8
concolor,Eastern European hedgehog,7
europaeus,Western European hedgehog,11.7
auritus,Long-eared hedgehog,7.6
aethiopicus,Desert hedgehog,6.3
hypomelas,Brandt's hedgehog,7
arboreus,"Southern tree hyrax, or Tree hyrax",13.6
brucei,Bush hyrax,unknown
capensis,Rock hyrax,14.8
idahoensis,Pygmy rabbit,unknown
monticularis,Riverine rabbit,unknown
americanus,Snowshoe hare,unknown
brachyurus,Japanese hare,13
californicus,Black-tailed jackrabbit,11.8
capensis,Cape hare,unknown
europaeus,European hare,10.7
timidus,Mountain hare,18
townsendii,White-tailed jackrabbit,unknown
cuniculus,European rabbit,13
audubonii,Audubon's cottontail rabbit,7.8
bachmani,Brush rabbit,unknown
floridanus,Eastern cottontail,9.8
nuttallii,Mountain cottontail,7.4
palustris,Marsh rabbit,7.6
transitionalis,New England cottontail,9.3
collaris,Collared pika,unknown
hyperborea,Northern pika,9.4
princeps,American pika,7
pusilla,Steppe pika,unknown
brachyrhynchus,Short-nosed elephant shrew,unknown
edwardii,Cape elephant shrew,unknown
intufi,"Bushveld elephant shrew, or Long-eared elephant shrew",9.3
rozeti,North African elephant shrew,7.2
rufescens,Rufous elephant shrew,7.9
proboscideus,Short-eared elephant shrew,8.7
tetradactylus,Four-toed elephant shrew,unknown
chrysopygus,Golden-rumped elephant shrew,11
cirnei,Checkered elephant shrew,unknown
gliroides,Monito del monte,unknown
anatinus,Duck-billed platypus,22.6
aculeatus,Short-beaked echidna,49.5
bruijni,"Western long-beaked echidna, or Long-nosed echidna",41.2
typhlops,Southern marsupial mole,unknown
kalubu,"Common echymipera, or New Guinea spiny bandicoot",unknown
rufescens,Long-nosed echymipera,3.1
auratus,Golden bandicoot,6.7
macrourus,Northern brown bandicoot,6.8
obesulus,Southern brown bandicoot,6.5
bougainville,Western barred bandicoot,5.8
gunnii,Eastern barred bandicoot,6.1
nasuta,Long-nosed bandicoot,5.6
raffrayana,Raffray's bandicoot,3.2
lagotis,"Rabbit-bandicoot, or Bilby",9.6
asinus,African wild ass,47
caballus,Horse,57
grevyi,Grevy's zebra,31
hemionus,Kulan,31.6
kiang,Kiang,30.1
quagga,Quagga,38
zebra,Mountain zebra,33.2
simum,White rhinoceros,45
sumatrensis,Sumatran rhinoceros,32.8
bicornis,Black rhinoceros,57
sondaicus,Javan rhinoceros,unknown
unicornis,Indian rhinoceros,43.5
indica,Malayan tapir,36.5
bairdii,Baird's tapir,29.6
pinchaque,Mountain tapir,28.5
terrestris,Brazilian tapir,39.6
crassicaudata,Indian pangolin,unknown
pentadactyla,Chinese pangolin,unknown
torquatus,Maned three-toed sloth,unknown
tridactylus,Pale-throated three-toed sloth,unknown
didactylus,Silky anteater,unknown
didactylus,Southern two-toed sloth,36.8
hoffmanni,Hoffmann's two-toed sloth,41
tridactyla,Giant anteater,31
mexicana,Northern tamandua,16
tetradactyla,Southern tamandua,19
azarae,Azara's night monkey,30
lemurinus,Lemurine night monkey,33.8
trivirgatus,Northern night monkey,30.1
vociferans,Noisy night monkey,22.1
caraya,Black howler monkey,32.4
guariba,Brown howler monkey,unknown
palliata,Mantled howler monkey,24
pigra,Mexican black howler monkey,unknown
sara,Bolivian red howler monkey,unknown
seniculus,Red howler monkey,25
belzebuth,White-bellied spider monkey,37
chamek,Chamek spider monkey,42.8
fusciceps,Brown-headed spider monkey,46
geoffroyi,Central American spider monkey,47.1
marginatus,White-whiskered spider monkey,44
paniscus,Black spider monkey,46
arachnoides,"Southern muriqui, or Woolly spider monkey, or Muriqui",40
lagothricha,Humboldt's woolly monkey,32
goeldii,Goeldi's monkey,22.2
geoffroyi,Geoffroy's marmoset,17.6
jacchus,White-tufted-ear marmoset,22.8
kuhlii,Wied's black-tufted-ear marmoset,20
penicillata,Black-pencilled marmoset,15.4
pygmaea,Pygmy marmoset,18.6
fuscicollis,Saddlebacked tamarin,24.9
nigricollis,Black-mantled tamarin,20.2
chrysomelas,Golden-headed lion tamarin,21.3
chrysopygus,Golden-rumped lion tamarin,17.9
rosalia,Golden lion tamarin,31.6
argentatus,Silvery marmoset,16.5
humeralifer,Tassel-eared marmoset,15
bicolor,Brazilian bare-faced tamarin,19
geoffroyi,Geoffroy's tamarin,20.5
imperator,Emperor tamarin,23.7
labiatus,Red-chested mustached tamarin,20.5
leucopus,Silvery-brown bare-face tamarin,15.2
midas,Midas tamarin,21
mystax,Black-chested mustached tamarin,20
oedipus,Cotton-top tamarin,26.2
albifrons,White-fronted capuchin,40.4
capucinus,White-faced capuchin,54
olivaceus,Weeping capuchin,47
boliviensis,Bolivian squirrel monkey,30.3
oerstedii,Central American squirrel monkey,unknown
sciureus,South American squirrel monkey,30.2
apella,Brown capuchin,46
nigroviridis,Allen's swamp monkey,27
lhoesti,L'hoest's monkey,24.1
preussi,Preuss's monkey,26
solatus,Sun-tailed monkey,unknown
agilis,Agile mangabey,31
galeritus,Tana River mangabey,unknown
torquatus,Red-capped mangabey,46
ascanius,Black-cheeked white-nosed monkey,31.2
campbelli,Campbell's monkey,30
cephus,Moustached monkey,36
diana,Diana monkey,35.1
erythrogaster,Red-bellied monkey,24
hamlyni,Owl-faced monkey,28.6
mitis,Blue monkey,37.8
mona,Mona monkey,30
neglectus,De Brazza's monkey,30.8
nictitans,White-nosed guenon,31
petaurista,Lesser white-nosed monkey,29
pogonias,Crowned guenon,27
wolfi,Wolf's monkey,24
aethiops,"Grivet, or Vervet",32
angolensis,Angolan colobus,35.3
guereza,Guereza,35
polykomos,King colobus,33.9
patas,Patas monkey,30
albigena,Gray-cheeked mangabey,36
arctoides,Stump-tailed macaque,29.2
assamensis,Assam macaque,31.4
fascicularis,Long-tailed macaque,39
fuscata,Japanese macaque,38.5
maura,Moor macaque,33
mulatta,Rhesus monkey,40
nemestrina,"Southern pig-tailed macaque, or Pigtail macaque",37.6
nigra,Celebes crested macaque,34
ochreata,Booted macaque,29
radiata,Bonnet macaque,30
silenus,Liontail macaque,40
sinica,Toque macaque,29.3
sylvanus,Barbary macaque,30
thibetana,Tibetan macaque,27
tonkeana,Tonkean macaque,28.4
leucophaeus,Drill,39
sphinx,Mandrill,40
talapoin,"Southern talapoin monkey, or Talapoin",27.7
larvatus,Proboscis monkey,25.1
hamadryas,Hamadryas baboon,37.5
comata,Grizzled leaf monkey,unknown
melalophos,"Black-crested sumatran langur, or Mitred leaf monkey",20
thomasi,North Sumatran leaf monkey,unknown
nemaeus,"Red-shanked douc langur, or Douc langur",26
bieti,Black snub-nosed monkey,unknown
roxellana,Golden snub-nosed monkey,29.5
entellus,Hanuman langur,29
johnii,Hooded leaf monkey,34
vetulus,Purple-faced leaf monkey,26.1
gelada,Gelada baboon,36
auratus,Javan langur,31.1
cristatus,Silvered leaf monkey,28.3
francoisi,Francois's leaf monkey,26.3
geei,Golden leaf monkey,unknown
obscurus,Dusky leaf monkey,33.9
phayrei,Phayre's leaf monkey,28.3
pileatus,Capped leaf monkey,25.2
major,Greater dwarf lemur,13.4
medius,Fat-tailed dwarf lemur,29
murinus,Gray mouse lemur,18.2
rufus,Brown mouse lemur,unknown
coquereli,Giant mouse lemur,17.4
furcifer,"Masoala fork-marked lemur, or Fork-marked lemur",25
madagascariensis,Aye-aye,32.3
elegantulus,Western needle-clawed galago,unknown
moholi,South African galago,16.6
senegalensis,Senegal galago,17.1
demidoff,Demidoff's galago,13.4
crassicaudatus,"Brown greater galago, or Greater galago",22.7
garnettii,Small-eared galago,20
zanzibaricus,"Zanzibar bushbaby, or Zanzibar galago",unknown
alleni,Allen's squirrel galago,unknown
gorilla,Gorilla,60.1
sapiens,Human,122.5
paniscus,"Pygmy chimpanzee, or Bonobo",55
troglodytes,Chimpanzee,68
pygmaeus,Orangutan,59
hoolock,"Western hoolock gibbon, or Hoolock gibbon",41
agilis,Agile gibbon,49
klossii,Kloss's gibbon,37
lar,White-handed gibbon,56
moloch,Silvery gibbon,45
muelleri,Borneo gibbon,60
pileatus,Pileated gibbon,38
concolor,Crested gibbon,46.1
leucogenys,"Northern white-cheeked gibbon, or White-cheeked gibbon",44.1
syndactylus,Siamang,43
diadema,Diademed sifaka,21
tattersalli,Golden-crowned sifaka,20
verreauxi,Verreaux's sifaka,31
coronatus,Crowned lemur,27
fulvus,Brown lemur,35.5
macaco,Black lemur,37.5
mongoz,Mongoose lemur,36.2
rubriventer,Red-bellied lemur,31.7
aureus,Golden bamboo lemur,unknown
griseus,"Gray bamboo lemur, or Bamboo lemur",23.3
catta,Ring-tailed lemur,37.3
simus,Greater bamboo lemur,17.6
rubra,Red ruffed lemur,37.5
variegata,"Black-and-white ruffed lemur, or Ruffed lemur",40
mustelinus,Weasel sportive lemur,unknown
ruficaudatus,Red-tailed sportive lemur,unknown
calabarensis,Calabar angwantibo,13
tardigradus,"Red slender loris, or Slender loris",21.6
coucang,Slow loris,25.8
pygmaeus,Pygmy slow loris,19.3
potto,Potto,32.4
calvus,"Bald uacari, or Red uakari",35.8
melanocephalus,Black uakari,unknown
albinasus,White-nosed bearded saki,20
satanas,Brown-bearded saki,19.6
aequatorialis,Equatorial saki,unknown
irrorata,Gray monk saki,unknown
monachus,Monk saki,25
pithecia,Guianan saki,36
cupreus,Coppery titi,26.4
donacophilus,Bolivian titi,25
moloch,Dusky titi,26.2
syrichta,Philippine tarsier,16
bancanus,Western tarsier,16.3
tarsier,Spectral tarsier,unknown
maximus,Asiatic elephant,79.6
africana,African bush elephant,65
bennettii,Bennett's chinchilla rat,2.3
rufa,Mountain beaver,unknown
anselli,Ansell's mole-rat,20.6
damarensis,Damaraland mole-rat,15.5
hottentotus,African mole rat,11
mechowii,Giant mole-rat,20
capensis,Cape mole-rat,11.2
argenteocinereus,Silvery mole-rat,unknown
glaber,Naked mole-rat,31
bailwardi,Mouse-like hamster,9.4
mystax,Afghan mouse-like hamster,unknown
pilorides,Desmarest's hutia,13.8
brownii,Brown's hutia,13.5
ingrahami,Bahamian hutia,unknown
aedium,Hispaniolan hutia,15.9
canadensis,American beaver,23.4
fiber,Eurasian beaver,unknown
aperea,Brazilian guinea pig,6
porcellus,Guinea pig,12
tschudii,Montane guinea pig,6.3
patagonum,Patagonian mara,14.4
musteloides,Common yellow-toothed cavy,3.5
spixii,Spix's yellow-toothed cavy,4.6
hydrochaeris,Capybara,15.1
rupestris,Rock cavy,12.9
lanigera,Long-tailed chinchilla,17.2
peruanum,Peruvian mountain viscacha,unknown
viscacia,Mountain viscacha,19.5
maximus,Plains viscacha,10.8
argentatus,Silver mountain vole,unknown
semicanus,Mongolian silver vole,3.8
strelzowi,Flat-headed vole,unknown
amphibius,European water vole,2.5
taylori,Northern pygmy mouse,3.3
barabensis,Striped dwarf hamster,5.3
cricetus,Black-bellied hamster,3.6
groenlandicus,Collared lemming,3.3
richardsoni,Richardson's collared lemming,unknown
torquatus,Arctic lemming,unknown
typus,Highland gerbil mouse,unknown
talpinus,Northern mole vole,6.4
lagurus,Steppe lemming,3.8
brandtii,Brandt's vole,4.1
lemmus,Norway lemming,3.3
imhausi,Crested rat,7.5
auratus,Golden hamster,3.9
brandti,Brandt's hamster,4.4
agrestis,Field vole,4.8
arvalis,Common vole,4.8
duodecimcostatus,Mediterranean pine vole,unknown
guentheri,Guenther's vole,3.9
longicaudus,Long-tailed vole,unknown
ochrogaster,Prairie vole,5.3
oeconomus,Tundra vole,unknown
pennsylvanicus,Meadow vole,unknown
pinetorum,Woodland vole,3.8
richardsoni,Water vole,unknown
subterraneus,European pine vole,unknown
glareolus,Bank vole,4.9
rufocanus,Gray red-backed vole,unknown
rutilus,Northern red-backed vole,2.1
schisticolor,Wood lemming,unknown
albigula,White-throated woodrat,9.5
cinerea,Bushy-tailed woodrat,unknown
floridana,Eastern woodrat,8.6
lepida,Desert woodrat,10.5
micropus,Southern plains woodrat,unknown
sumichrasti,Vesper rat,5.7
nuttalli,Golden mouse,8.4
zibethicus,Muskrat,unknown
leucogaster,Northern grasshopper mouse,5.6
torridus,Southern grasshopper mouse,4.6
californicus,California mouse,5.5
crinitus,Canyon mouse,7.7
eremicus,Cactus mouse,7.4
guatemalensis,Guatemalan deer mouse,5.7
leucopus,White-footed mouse,7.9
maniculatus,Deer mouse,8.3
polionotus,Oldfield mouse,5.5
truei,Pinyon mouse,5.4
intermedius,Western heather vole,unknown
ungava,Eastern heather vole,unknown
roborovskii,Desert hamster,4.8
sungorus,Dzhungarian hamster,3.9
darwini,Darwin's leaf-eared mouse,unknown
floridanus,Florida mouse,7.4
auritus,"Bunny, or Coney rat",5.5
humulis,Eastern harvest mouse,unknown
megalotis,Western harvest mouse,unknown
nitela,Splendid climbing mouse,unknown
teguina,Alston's brown mouse,unknown
hispidus,Hispid cotton rat,5.2
cooperi,Southern bog lemming,unknown
triton,Greater long-tailed hamster,unknown
nudicaudus,Peters's climbing rat,5.4
pyrrhorhinos,Red-nosed mouse,unknown
gundi,Gundi,5.8
spekei,Speke's pectinator,unknown
conoveri,Chacoan tuco-tuco,unknown
talarum,"Talas tuco-tuco, or Tuco-tuco",unknown
paca,Lowland paca,16.3
taczanowskii,Mountain paca,18.9
azarae,Azara's agouti,11.8
cristata,Crested agouti,14
fuliginosa,Black agouti,18
leporina,"Red-rumped agouti, or Agouti",17.8
mexicana,Mexican agouti,13.1
prymnolopha,Black-rumped agouti,16.3
punctata,Central American agouti,13.8
ruatanica,"Ruatan island agouti, or Ruatan agouti",13.7
acouchy,Red acouchi,14.8
branickii,Pacarana,12.8
elater,Small five-toed jerboa,5.2
euphratica,Euphrates jerboa,4.2
major,Great jerboa,7
sibirica,Mongolian five-toed jerboa,4.5
jaculus,Lesser Egyptian jerboa,7.3
orientalis,Greater Egyptian jerboa,5.5
insignis,Woodland jumping mouse,unknown
betulina,Northern birch mouse,unknown
hudsonius,Meadow jumping mouse,5.6
princeps,Western jumping mouse,unknown
gymnurus,Armored rat,7
didelphoides,Red-nosed armored tree-rat,unknown
brevicauda,"Andean spiny rat, or Short-tailed spiny-rat",6.8
guairae,"Guaira spiny rat, or Quaira spiny rat",unknown
guyannensis,Cayenne spiny rat,unknown
semispinosus,"Tome's spiny rat, or Spiny rat",5.8
apereoides,"Common punare, or Brazilian spiny rat",7
prehensilis,Prehensile-tailed porcupine,26.6
dorsatus,North American porcupine,23.4
mexicanus,Mexican hairy dwarf porcupine,16.7
villosus,Orange-spined hairy dwarf porcupine,unknown
castanops,Yellow-faced pocket gopher,unknown
bursarius,Plains pocket gopher,12
personatus,Texas pocket gopher,unknown
bottae,Botta's pocket gopher,6.1
mazama,Western pocket gopher,unknown
talpoides,Northern pocket gopher,unknown
nitedula,Forest dormouse,4.1
melanurus,Asian garden dormouse,6.2
quercinus,Garden dormouse,5.5
japonicus,Japanese dormouse,7
glis,Fat dormouse,8.7
murinus,Woodland dormouse,6.9
platyops,Rock dormouse,7.3
avellanarius,Hazel dormouse,5.3
fallax,San Diego pocket mouse,8.3
formosus,Long-tailed pocket mouse,7.1
nelsoni,Nelson's pocket mouse,unknown
agilis,Agile kangaroo rat,unknown
deserti,Desert kangaroo rat,8.6
heermanni,Heermann's kangaroo rat,8.3
merriami,Merriam's kangaroo rat,9.7
nitratoides,Fresno kangaroo rat,unknown
ordii,Ord's kangaroo rat,9.9
spectabilis,Banner-tailed kangaroo rat,12.7
adspersus,Panamanian spiny pocket mouse,unknown
megacephalus,Dark kangaroo mouse,unknown
amplus,Arizona pocket mouse,5.9
flavescens,Plains pocket mouse,unknown
flavus,Silky pocket mouse,unknown
longimembris,Little pocket mouse,8.3
merriami,Merriam's pocket mouse,unknown
parvus,Great Basin pocket mouse,5.8
africanus,African brush-tailed porcupine,22.9
macrourus,Asiatic brush-tailed porcupine,unknown
africaeaustralis,Cape porcupine,23.1
brachyura,Malayan porcupine,27.3
cristata,African porcupine,28
indica,Indian crested porcupine,27.1
pumila,Indonesian porcupine,unknown
sumatrae,Sumatran porcupine,unknown
fasciculata,Long-tailed porcupine,unknown
cahirinus,Spiny mouse,5.9
cilicicus,Turkish spiny mouse,4
minous,Crete spiny mouse,unknown
russatus,Golden spiny mouse,unknown
wilsoni,Wilson's spiny mouse,5.6
agrarius,Striped field mouse,unknown
argenteus,Small Japanese field mouse,5
flavicollis,Yellow-necked mouse,4.5
peninsulae,Korean field mouse,4.4
speciosus,Large Japanese field mouse,5.3
sylvaticus,Long-tailed field mouse,6.3
niloticus,Nile kusu,6.7
gliroides,Pencil-tailed tree mouse,3.6
goslingi,African water rat,unknown
penicillatus,Brush-tailed rabbit rat,4.5
heaneyi,Panay crateromys,8.8
schadenbergi,Luzon bushy-tailed cloud rat,unknown
auricularis,Cape short-eared gerbil,6.1
campestris,North African gerbil,7.3
afra,Cape gerbil,5.7
validus,Southern savanna gerbil,5
gerbillus,Lesser Egyptian gerbil,5.9
nanus,Baluchistan gerbil,4.5
perpallidus,Pale gerbil,5.5
pyramidum,Greater Egyptian gerbil,8.2
dolichurus,Woodland mouse,4.4
chrysogaster,Golden-bellied water rat,7.3
barbarus,Barbary striped grass mouse,4.4
striatus,Typical striped grass mouse,4.8
canus,Gray tree rat,unknown
conditor,Greater stick-nest rat,5.3
erythroleucus,Guinea multimammate mouse,unknown
crassus,Sundevall's jird,5.6
libycus,Libyan jird,5.2
meridianus,Mid-day jird,6.8
persicus,Persian jird,6
shawi,Shaw's jird,unknown
tamariscinus,Tamarisk jird,unknown
unguiculatus,Mongolian jird,6.3
vinogradovi,Vinogradov's jird,6.7
gouldii,Black-footed tree rat,7.8
macrurus,Golden-backed tree rat,7.1
namaquensis,"Namaqua rock rat, or Rock mouse",4.7
minutus,Old World harvest mouse,3.8
gleadowi,Sand-colored rat,4
caroli,Ryukyu mouse,unknown
cervicolor,Fawn-colored mouse,unknown
minutoides,"Southern African pygmy mouse, or Pygmy mouse",4.3
musculoides,Temminck's mouse,unknown
musculus,House mouse,4
spicilegus,Mound-building mouse,3.5
alexis,Spinifex hopping mouse,6.4
aquilo,Northern hopping mouse,unknown
mitchellii,Mitchell's hopping mouse,5.3
irroratus,Vlei rat,unknown
duprasi,Fat-tailed gerbil,8.3
cumingi,Slender-tailed cloud rat,13.6
pallidus,Northern Luzon slender-tailed cloud rat,10.7
macrourus,"Chestnut pogonomys, or Long-tailed tree mouse",3.1
tullbergi,"Tullberg's praomys, or Tullberg's rock rat",5.2
obesus,Fat sand rat,3.2
australis,"Plains mouse, or Australian native mouse",7.9
chapmani,Western pebble-mound mouse,6.8
fumeus,Smoky mouse,6.5
higginsi,Long-tailed mouse,unknown
laborifex,Kimberly mouse,6.9
shortridgei,Heath mouse,6
fuscipes,Bush rat,5.3
lutreolus,Australian swamp rat,4.4
norvegicus,Norway rat,3.8
rattus,Rat,4.2
pumilio,Four-striped grass mouse,4.5
opimus,Great gerbil,4.5
calurus,Bushy-tailed jird,7.3
muelleri,Mueller's giant Sunda rat,unknown
indica,Indian gerbil,7
gracilis,Slender gerbil,unknown
paedulcus,Acacia rat,unknown
venustus,Thicket rat,unknown
woosnami,"Woosnam's broad-headed mouse, or South African broad-headed mouse",unknown
argurus,Common rock rat,unknown
palatilis,Carpentarian rock rat,6.2
pedunculatus,Central rock rat,7.5
coypus,Nutria,19
emini,Giant rat,7.4
gambianus,Gambian rat,8.4
melanotis,Gray climbing mouse,4.2
mesomelas,Brant's climbing mouse,3.3
antimena,Malagasy giant rat,12.6
albicaudatus,White-tailed mouse,6.3
campestris,Pouched mouse,4.5
pratensis,Fat mouse,unknown
degus,Degu,14
gliroides,Mountain degu,unknown
cyanus,Coruro,10.8
capensis,"South African springhare, or Springhare",20
typicus,Dassie rat,unknown
lasiurus,Malabar spiny dormouse,unknown
harrisii,Harris's antelope squirrel,10.6
leucurus,White-tailed antelope squirrel,11.2
nelsoni,Nelson's antelope squirrel,unknown
getulus,Barbary ground squirrel,unknown
adamsi,Ear-spot squirrel,unknown
caniceps,Gray-bellied squirrel,13.7
erythraeus,Pallas's squirrel,17
finlaysonii,Finlayson's squirrel,12.8
notatus,Plantain squirrel,14.8
prevostii,Prevost's squirrel,21.1
lateralis,Golden-mantled ground squirrel,10.4
saturatus,Cascade golden-mantled ground squirrel,unknown
gunnisoni,Gunnison's prairie dog,unknown
ludovicianus,Black-tailed prairie dog,15
lokriah,Orange-bellied Himalayan squirrel,unknown
palmarum,Indian palm squirrel,unknown
pennantii,Northern palm squirrel,unknown
anerythrus,Thomas's rope squirrel,10
congicus,Congo rope squirrel,unknown
pyrropus,Fire-footed rope squirrel,9.5
substriatus,Kintampo rope squirrel,unknown
sabrinus,Northern flying squirrel,14.2
volans,Southern flying squirrel,19
rufobrachium,Red-legged sun squirrel,8.7
tridecemlineatus,Thirteen-lined ground squirrel,7.9
insignis,Three-striped ground squirrel,unknown
bobak,Bobak marmot,unknown
caligata,Hoary marmot,12.1
flaviventris,Yellow-bellied marmot,21.2
marmota,Alpine marmot,17.4
monax,Woodchuck,14
vancouverensis,Vancouver marmot,12.1
variegatus,Rock squirrel,9.8
cepapi,Smith's bush squirrel,unknown
poensis,Green bush squirrel,unknown
alborufus,Red and white giant flying squirrel,21.4
leucogenys,Japanese giant flying squirrel,19.2
magnificus,Hodgson's giant flying squirrel,unknown
petaurista,Red giant flying squirrel,unknown
philippensis,Indian giant flying squirrel,unknown
franklinii,Franklin's ground squirrel,7.2
momonga,Japanese flying squirrel,unknown
volans,Siberian flying squirrel,11.4
affinis,Pale giant squirrel,unknown
bicolor,Black giant squirrel,19
indica,Indian giant squirrel,20
davidianus,Pere David's rock squirrel,unknown
aberti,Abert's squirrel,unknown
aestuans,Guianan squirrel,unknown
aureogaster,Red-bellied squirrel,11.5
carolinensis,Eastern gray squirrel,23.6
deppei,Deppe's squirrel,unknown
granatensis,Red-tailed squirrel,11.5
griseus,Western gray squirrel,unknown
ignitus,Bolivian squirrel,unknown
lis,Japanese squirrel,unknown
niger,Eastern fox squirrel,16
stramineus,Guayaquil squirrel,unknown
variegatoides,Variegated squirrel,15.1
vulgaris,Eurasian red squirrel,14.8
citellus,European ground squirrel,6.7
pygmaeus,Little ground squirrel,7.1
hippurus,Horse-tailed squirrel,14
lowii,Low's squirrel,11.1
tenuis,Slender squirrel,10
amoenus,Yellow-pine chipmunk,unknown
dorsalis,Cliff chipmunk,12.6
