Species,Common name,Maximum longevity (yrs)
epops,Eurasian hoopoe,11.1
carolinensis,Chuck-will's-widow,14.8
europaeus,Eurasian nightjar,11.9
ruficollis,Red-necked nightjar,13.2
vociferus,Whip-poor-will,15
minor,Common nighthawk,10
nuttallii,Common poorwill,unknown
ocellatus,Marbled frogmouth,unknown
strigoides,Tawny frogmouth,17.9
bennetti,Dwarf cassowary,26
casuarius,Southern cassowary,30
unappendiculatus,Northern cassowary,22
novaehollandiae,Emu,16.6
cristatella,Crested auklet,10.8
pusilla,Least auklet,8.1
pygmaea,Whiskered auklet,15
torda,Razorbill,42
marmoratus,Marbled murrelet,10
columba,Pigeon guillemot,15.2
grylle,Black guillemot,29.9
monocerata,Rhinoceros auklet,28.2
arctica,Atlantic puffin,45
aleuticus,Cassin's auklet,16.2
antiquus,Ancient murrelet,unknown
hypoleucus,Xantus' murrelet,15
aalge,Common murre,42.8
lomvia,Thick-billed murre,29
grallarius,Bush stone-curlew,5.5
oedicnemus,Eurasian thick-knee,17.9
alexandrinus,Snowy plover,19
bicinctus,Double-banded plover,18.3
dubius,Little ringed plover,13
hiaticula,Common ringed plover,20.8
leschenaultii,Greater sand plover,21.6
melodus,Piping plover,14
mongolus,Lesser sand plover,15.6
montanus,Mountain plover,10
morinellus,Eurasian dotterel,11.8
ruficapillus,Red-capped plover,21
semipalmatus,Semipalmated plover,9.2
vociferus,Killdeer,10.9
melanops,Black-fronted dotterel,unknown
apricaria,"European golden-plover, or Greater golden-plover",13.8
dominica,American golden plover,13
fulva,Pacific golden-plover,21.3
squatarola,Black-bellied plover,25.6
rubricollis,Hooded dotterel,16.2
armatus,Blacksmith lapwing,18.6
miles,Masked lapwing,13.9
spinosus,Spur-winged lapwing,17
vanellus,Northern lapwing,24.5
maldivarum,Oriental pratincole,4.4
bachmani,Black oystercatcher,16
fuliginosus,Sooty oystercatcher,19.9
longirostris,Pied oystercatcher,30.2
ostralegus,Eurasian oystercatcher,43.3
palliatus,American oystercatcher,17
minutus,Black noddy,27.1
stolidus,"Brown noddy, or Noddy tern",26.2
tenuirostris,Lesser noddy,15
hybrida,Whiskered tern,16
niger,Black tern,21
genei,Slender-billed gull,31.7
novaehollandiae,Silver gull,28.8
ridibundus,Black-headed gull,32.9
nilotica,Gull-billed tern,16
alba,White tern,35.9
minutus,Little gull,20.9
caspia,Caspian tern,30
audouinii,Audouin's gull,25
ichthyaetus,Great black-headed gull,unknown
melanocephalus,Mediterranean gull,22.1
inca,Inca tern,26
argentatus,Herring gull,49
cachinnans,Caspian gull,31.9
californicus,California gull,30
canus,Mew gull,33.7
delawarensis,Ring-billed gull,31.8
dominicanus,Kelp gull,27
fuscus,Lesser black-backed gull,34.9
glaucescens,Glaucous-winged gull,32
glaucoides,Iceland gull,33
heermanni,Heermann's gull,24
hyperboreus,Glaucous gull,21.1
marinus,Great black-backed gull,32.8
michahellis,Yellow-legged gull,19.2
occidentalis,Western gull,33.9
pacificus,Pacific gull,24.3
atricilla,Laughing gull,22
pipixcan,Franklin's gull,unknown
anaethetus,Bridled tern,24.9
fuscatus,Sooty tern,35.8
lunatus,Gray-backed tern,25.8
eburnea,Ivory gull,23.9
cerulea,Blue-gray noddy,15
brevirostris,Red-legged kittiwake,27
tridactyla,Black-legged kittiwake,28.5
niger,Black skimmer,20.2
dougallii,Roseate tern,25.7
forsteri,Forster's tern,15.8
hirundo,Common tern,33
paradisaea,Arctic tern,34
sumatrana,Black-naped tern,unknown
albifrons,Little tern,23.9
antillarum,Least tern,24.1
nereis,Fairy tern,17.2
bengalensis,Lesser crested tern,14
bergii,Greater crested tern,32.2
elegans,Elegant tern,20.9
maximus,Royal tern,28.6
sandvicensis,Sandwich tern,30.8
torquatus,Plains-wanderer,2.3
leucocephalus,Banded stilt,11.3
himantopus,Black-winged stilt,16
mexicanus,Black-necked (Hawaiian) stilt,25
americana,American avocet,unknown
avosetta,Pied avocet,27.8
novaehollandiae,Red-necked avocet,unknown
hypoleucos,Common sandpiper,14.5
macularius,Spotted sandpiper,12
interpres,Ruddy turnstone,22.3
longicauda,Upland sandpiper,8.9
acuminata,Sharp-tailed sandpiper,8.6
alba,Sanderling,18.6
alpina,Dunlin,28.8
canutus,Red knot,27.3
ferruginea,Curlew sandpiper,19.7
fuscicollis,White-rumped sandpiper,unknown
himantopus,Stilt sandpiper,11.1
maritima,Purple sandpiper,20.8
mauri,Western sandpiper,9.2
melanotos,Pectoral sandpiper,unknown
minuta,Little stint,14.7
minutilla,Least sandpiper,16
ptilocnemis,Rock sandpiper,unknown
pusilla,Semipalmated sandpiper,19.3
ruficollis,Red-necked stint,21.8
temminckii,Temminck's stint,12.9
tenuirostris,Great knot,20.9
delicata,Wilson's snipe,9.2
gallinago,Common snipe,18.2
hardwickii,Japanese snipe,unknown
media,Great snipe,5.9
falcinellus,Broad-billed sandpiper,11.6
griseus,Short-billed dowitcher,13.3
scolopaceus,Long-billed dowitcher,13.2
semipalmatus,Asian dowitcher,unknown
fedoa,Marbled godwit,13.7
lapponica,Bar-tailed godwit,34
limosa,Black-tailed godwit,23.6
minimus,Jack snipe,12.3
arquata,Eurasian curlew,31.8
madagascariensis,Eastern curlew,19.1
minutus,Little curlew,unknown
phaeopus,Whimbrel,24.2
tahitiensis,Bristle-thighed curlew,23.8
lobatus,Red-necked phalarope,12.9
tricolor,Wilson's phalarope,10
pugnax,Ruff,13.9
minor,American woodcock,20.9
rusticola,Eurasian woodcock,15.5
erythropus,Spotted redshank,8.6
flavipes,Lesser yellowlegs,unknown
glareola,Wood sandpiper,11.7
nebularia,Common greenshank,24.4
ochropus,Green sandpiper,11.5
semipalmata,Willet,12.6
stagnatilis,Marsh sandpiper,8.5
totanus,Common redshank,26.9
cinereus,Terek sandpiper,16.9
antarcticus,Brown skua,28.8
longicaudus,Long-tailed jaeger,14
maccormicki,South polar skua,23.5
parasiticus,Parasidic jaeger,31.1
skua,Great skua,35.9
lamelligerus,African openbill,unknown
oscitans,Asian openbill,18
abdimii,Abdim's stork,21.6
boyciana,Oriental white stork,48.1
ciconia,European white stork,39
episcopus,Woolly-necked stork,32
maguari,Maguari stork,20.4
nigra,Black stork,31.3
asiaticus,Black-necked stork,34
senegalensis,Saddle-billed stork,30.2
mycteria,Jabiru,27.4
crumeniferus,Marabou,44.7
dubius,Greater adjutant,43
javanicus,Lesser adjutant,31.1
americana,Wood stork,27
cinerea,Milky stork,12.4
ibis,Yellow-billed stork,19.1
leucocephala,Painted stork,28.6
striatus,Speckled mousebird,11.5
nicobarica,Nicobar pigeon,20.5
indica,Common emerald dove,12
livia,Rock dove,35
oenas,"Stock dove, or Stock pigeon",12.6
palumbus,Common wood-pigeon,17.7
inca,Inca dove,13.3
passerina,Common ground dove,7.2
bicolor,Pied imperial pigeon,14
cuneata,Diamond dove,unknown
humeralis,Bar-shouldered dove,14
striata,Zebra dove,18.7
verreauxi,White-tipped dove,8.6
melanoleuca,Wonga pigeon,16.3
amboinensis,Amboyna cuckoo-dove,unknown
lophotes,Crested pigeon,17.3
fasciata,Band-tailed pigeon,18.5
leucocephala,White-crowned pigeon,14.4
chalcoptera,Common bronzewing,5.1
elegans,Brush bronzewing,unknown
chinensis,Spotted dove,16.7
decaocto,Eurasian collared-dove,17.9
risoria,Ring dove,12
turtur,European turtle-dove,13.2
asiatica,White-winged dove,25
aurita,Zenaida dove,unknown
macroura,Mourning dove,31.3
atthis,Common kingfisher,21
rudis,Pied kingfisher,3.9
americana,Green kingfisher,5
novaeguineae,Laughing kookaburra,26.8
smyrnensis,White-throated kingfisher,5.5
torotoro,Yellow-billed kingfisher,5.7
sylvia,Buff-breasted paradise kingfisher,9
benghalensis,Indian roller,8.9
caudatus,Lilac-breasted roller,13.7
garrulus,European roller,9.2
orientalis,Dollarbird,unknown
apiaster,European bee-eater,5.9
bullockoides,White-fronted bee-eater,7
ornatus,Rainbow bee-eater,4.6
mexicanus,Russet-crowned motmot,10.4
momota,Blue-crowned motmot,20.3
mexicanus,Puerto Rican tody,14
castaneiventris,Chestnut-breasted cuckoo,unknown
flabelliformis,Fan-tailed cuckoo,6
variolosus,Brush cuckoo,3.8
americanus,Yellow-billed cuckoo,5
erythropthalmus,Black-billed cuckoo,5
canorus,"Common cuckoo, or Eurasian cuckoo",12.9
californianus,Greater roadrunner,9
vieilloti,Puerto Rican lizard cuckoo,7.6
novaehollandiae,Channel-billed cuckoo,7.3
helias,Sunbittern,15
cheriway,Crested caracara,25.8
plancus,Southern caracara,37.6
berigora,Brown falcon,24
cenchroides,Nankeen kestrel,7
cherrug,Saker falcon,15.9
columbarius,Merlin,12.7
eleonorae,Eleonora's falcon,11.2
femoralis,Aplomado falcon,12
longipennis,Australian hobby,unknown
mexicanus,Prairie falcon,17.2
naumanni,Lesser kestrel,10.9
peregrinus,Peregrine falcon,25
punctatus,Mauritius kestrel,10
rupicoloides,Greater kestrel,unknown
rusticolus,Gyrfalcon,13.5
sparverius,American kestrel,17
subbuteo,Eurasian hobby,14.9
subniger,Black falcon,11.6
tinnunculus,Common kestrel,23.8
vespertinus,Red-footed falcon,13.2
globulosa,Wattled curassow,20
rubra,Great curassow,24
tuberosum,Razor-billed curassow,23
vetula,Plain chachalaca,8.8
lathami,"Australian brushturkey, or Brush turkey",12.5
ocellata,Malleefowl,5.1
maleo,Maleo,23
meleagris,Helmeted guineafowl,unknown
californica,California quail,9.6
gambelii,Gambel's quail,7.4
virginianus,Northern bobwhite,6.4
rufa,Red-legged partridge,6.2
umbellus,Ruffed grouse,11
urophasianus,Sage grouse,7
amherstiae,Lady Amherst's pheasant,19.6
pictus,Golden pheasant,13.4
chinensis,King quail,5
coturnix,Common quail,14.6
japonica,Japanese quail,6
pectoralis,Stubble quail,4.2
ypsilophora,Brown quail,4
obscurus,Blue grouse,14
canadensis,Spruce grouse,13
francolinus,Black francolin,7
pondicerianus,Grey francolin,8
gallus,Red junglefowl,30
lagopus,Willow ptarmigan,9
leucura,White-tailed ptarmigan,15
muta,Rock ptarmigan,11.7
tetrix,Eurasian black grouse,12.2
gallopavo,Wild turkey,13
cristatus,Indian peafowl,23.2
perdix,Grey partridge,5.2
colchicus,Common pheasant,27
napoleonis,Palawan peacock-pheasant,15
reevesii,Reeves's pheasant,9.2
urogallus,Western capercaillie,18
bonasia,Hazel grouse,7.2
cupido,Greater prairie chicken,5
pallidicinctus,Lesser prairie chicken,13.5
phasianellus,Sharp-tailed grouse,7.5
adamsii,Yellow-billed loon,unknown
arctica,Black-throated diver,28
immer,Great northern diver,24.1
stellata,Red-throated diver,24
virgo,Demoiselle crane,27
regulorum,Grey crowned crane,27.2
americana,Whooping crane,40
antigone,Sarus crane,41.8
canadensis,Sandhill crane,36.6
grus,Common crane,43
japonensis,Red-crowned crane,25.2
